"bi","cawt","form","hyd","msp10_sp","msp12_sp","msp15_sp","msp18_sp","msp19_sp","msp20_sp","msp24_sp","msp33_sp","msp3_sp","msp9_sp","root_barn","sowt","sp","tuni","miniacina_miniacea_.r.","miniacina_sp_.a.","miniacina_sp_.j.","parasmittina_margaritata","msp12_bryo","msp14_bryo","smittoidea_cautela","watersipora_subtorquata","smittipora_harmeriana","disporella_novaehollandiae","msp5_bryo","crisia_elongata","tubulipora_sp.","biofr","biofv","cyanob","msp10_ascc","msp10_ascs","msp11_ascs","msp15_ascc","msp16_ascc","msp1_ascc","msp1_ascs","msp22_ascc","msp24_ascc","msp2_ascc","msp2_ascs","msp3_ascs","msp4_ascc","msp5_ascc","msp5_ascs","msp6_ascc","msp6_ascs","msp8_ascc","msp9_ascc","msp9_ascs","X_brup","cca","grup","rdup"
0,7.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.852,0,0,11.111,0,7.407,0,0,0,0,0,0,0,0,0,0,0,0,3.704,0,0,0,0,3.704,0,0,0,14.815,0,0
0,37.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.429,0,2.857,0,8.571,0,2.857,0,0,0,0,0,2.857,0,0,11.429,2.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
0,26.19,0,2.381,0,0,0,0,0,0,0,0,0,0,0,0,2.381,0,2.381,0,14.286,0,0,0,0,0,0,0,9.523,0,0,16.667,4.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.428,0,0
0,21.74,0,30.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.348,0,0,0,0,0,0,0,0,0,0,0,0,4.348,8.695,4.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.087,0,0
0,0,0,8.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.348,0,0,0,0,0,0,0,4.348,0,4.348,17.391,0,0,0,0,0,0,4.348,0,4.348,0,0,0,0,0,0,0,0,0,0,21.739,0,0,0,30.434,0,0
0,47.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,2.083,0,0,0,0,0,0,2.083,0,0,18.75,0,0,2.083,0,4.167,0,0,0,0,0,0,0,0,0,0,4.167,0,0,0,0,0,0,0,0,0,0,12.5,0,0
0,60.001,0,2.222,0,0,0,0,0,0,0,0,0,0,0,0,2.222,0,0,0,2.222,0,0,0,0,0,0,0,4.445,0,0,8.889,0,2.222,0,0,0,0,0,0,2.222,0,0,0,0,0,0,0,0,0,0,4.445,0,0,0,11.111,0,0
0,19.047,0,4.762,0,0,0,0,0,0,0,0,0,0,0,0,14.285,0,4.762,0,0,0,0,0,0,0,0,0,23.811,0,0,0,0,19.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.285,0,0
0,21.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263,21.053,0,0,21.053,0,0,5.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263,0,0,0,21.053,0,0
0,16.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.302,0,4.651,0,11.628,0,0,2.326,0,0,0,0,25.581,0,0,0,0,11.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.605,0,0
2.703,35.134,0,5.405,0,0,0,0,0,2.703,0,0,0,0,0,0,2.703,0,0,0,10.811,0,0,0,0,0,0,0,0,0,0,8.108,2.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.703,0,0,0,27.027,0,0
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,5.001,0,5.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
11.765,5.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.882,0,0,5.882,0,0,0,0,5.882,0,0,11.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.941,0,0
0,4.348,0,0,0,0,0,0,0,0,0,0,2.174,0,0,0,6.522,0,0,0,39.13,0,0,0,0,0,0,0,21.739,0,0,2.174,0,4.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.565,0,0
0,14.634,0,0,0,0,0,0,0,0,0,0,0,0,4.878,0,4.878,0,0,0,14.634,0,0,0,0,0,0,0,39.024,0,0,2.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.513,0,0
0,23.077,0,3.846,0,0,0,0,0,0,0,0,0,0,0,3.846,0,0,0,0,11.538,0,0,0,0,0,0,0,3.846,0,0,0,0,3.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846,0,0,0,0,0,0,46.154,0,0
6.251,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,3.125,21.874,6.251,0,0,3.125,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.623,0,0
0,43.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.167,0,4.167,0,10.416,0,0,0,0,0,0,0,4.167,0,0,2.084,0,0,0,0,0,0,0,0,0,0,0,0,0,2.084,0,0,0,0,0,0,0,0,0,29.166,0,0
0,27.273,0,2.272,0,0,0,0,0,0,0,0,0,0,0,0,4.546,0,0,0,15.909,0,0,2.272,0,0,0,4.546,11.363,0,0,2.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.546,0,0
11.11,5.556,5.556,0,0,0,0,0,0,0,0,0,0,0,0,11.11,5.556,0,0,0,5.556,0,0,0,0,0,0,0,0,0,0,0,5.556,5.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.444,0,0
3.125,31.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,0,9.375,0,3.125,12.5,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,21.875,0,0,0,0,0,0,0,0,12.5,0,0
0,37.839,0,0,0,0,0,2.702,0,0,0,0,2.702,0,0,0,2.702,0,2.702,0,2.702,0,0,0,0,0,0,0,10.811,0,0,0,0,8.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.73,0,0
0,19.565,0,0,2.174,0,0,0,0,0,0,0,0,0,0,0,2.174,0,0,0,15.218,0,0,0,0,0,0,0,15.218,0,0,8.695,2.174,6.521,0,0,0,0,0,0,0,0,0,0,0,2.174,0,0,0,0,0,0,0,0,0,26.087,0,0
8.695,17.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.348,0,0,0,0,0,0,0,0,4.348,0,0,0,0,4.348,4.348,0,4.348,0,0,0,0,0,8.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.477,0,0
4.546,9.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.546,0,0,0,0,0,0,0,0,0,0,27.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.545,0,0
6,38,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,2,4,0,0,0,0,0,0,0,18,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
4.879,21.95,0,0,0,0,0,0,0,0,0,0,0,0,4.879,0,0,0,2.438,0,17.073,0,0,0,0,0,0,0,4.879,0,0,12.195,4.879,0,0,0,0,0,0,0,0,0,0,0,0,0,9.756,0,0,0,0,0,0,0,0,17.073,0,0
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,56,0,0
0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.546,18.182,0,0,0,4.546,0,0,0,0,0,27.273,0,0,0,0,4.546,0,0,0,0,0,0,0,0,0,0,0,22.727,0,0
0,5,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0,0,0,0,0,2.5,0,0,0,2.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0
0,0,0,29.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.764,0,0,0,0,0,0,2.942,0,0,0,0,2.942,0,0,0,0,0,20.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.353,0,0
0,0,0,4.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.762,0,0,0,0,0,0,4.762,0,4.762,0,4.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,47.619,0,0
0,26.922,0,3.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.538,0,0,7.693,7.693,0,0,3.846,0,0,0,0,0,0,0,0,0,0,30.769,0,0,0,0,0,0,0,0,7.693,0,0
0,0,0,22.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.443,0,0,0,0,0,0,5.556,0,0,0,5.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.223,0,0
0,2.857,0,25.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.286,0,0,0,0,0,0,0,0,0,0,2.857,22.858,0,0,0,0,0,0,0,0,0,25.714,0,0,0,0,0,0,0,0,2.857,0,0,0,2.857,0,0
0,11.111,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111,0,0,5.556,0,0,0,0,0,0,0,0,5.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111,0,0,0,0,0,0,55.556,0,0
0,0,0,14.286,0,0,0,0,0,0,0,0,0,7.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.286,0,0,0,0,0,0,0,0,0,0,0,0,0,21.429,0,0,0,0,7.143,0,0,0,35.714,0,0
0,2.564,0,23.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.641,0,0,0,0,0,0,2.564,0,0,0,10.257,2.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.334,0,0
0,0,0,25.641,0,0,0,0,0,0,0,0,0,0,0,0,0,41.025,0,0,5.129,0,0,0,0,0,0,0,0,0,0,2.564,17.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692,0,0
0,4.167,0,4.167,0,0,0,0,0,0,0,0,0,0,0,4.167,4.167,0,0,0,0,0,0,0,0,0,0,8.332,12.501,0,0,8.332,8.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.668,0,0,0,0,0,0,29.168,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.762,0,0,0,0,4.762,0,0,0,0,4.762,0,4.762,9.524,0,0,4.762,19.047,0,0,0,0,0,0,0,0,0,0,0,0,0,19.047,0,0,0,0,4.762,0,0,0,23.811,0,0
2.439,4.878,0,26.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.586,0,0,0,0,0,0,2.439,2.439,2.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.951,0,0
0,0,0,59.46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.703,0,0,10.81,0,0,0,0,0,0,2.703,0,0,0,5.406,8.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.81,0,0
0,15.386,7.692,30.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692,0,15.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.076,0,0
0,27.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545,0,0,0,0,0,0,0,0,0,0,0,22.728,4.545,0,0,4.545,0,18.183,0,0,0,0,0,0,0,0,0,0,0,4.545,0,0,0,0,0,0,0,0,13.636,0,0
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,4,0,0,0,4,0,0,11.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,44,0,0
0,0,0,18.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.182,0,0,0,0,0,0,0,4.545,0,0,4.545,9.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545,0,0,0,0,0,0,0,40.91,0,0
0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.999,0,0,0,0,0,0,0,0,0,0,10.001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.001,0,0,0,0,0,0,34.999,0,0
0,38.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.556,0,0,11.111,11.111,0,0,0,0,0,5.556,0,0,0,0,0,0,0,11.111,0,0,0,0,0,0,0,0,16.667,0,0
0,0,0,32.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.412,0,0,0,0,0,0,2.941,0,0,0,8.824,8.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.882,0,0,0,0,0,0,11.765,0,0
0,4.762,0,23.809,0,0,0,0,0,0,0,0,0,0,4.762,0,0,0,0,0,23.809,0,0,0,0,0,0,4.762,0,0,0,19.047,0,0,0,0,0,0,0,0,0,0,9.524,0,0,0,0,0,0,0,0,0,0,0,0,9.524,0,0
