"cca","cawt","hyd","msp5_bryo","biofr","miniacina_miniacea_.r.","cyanob","biofv","bi","miniacina_sp_.j.","disporella_novaehollandiae","msp3_sp","sp","msp15_sp","msp12_sp","sowt","tubulipora_sp.","msp20_sp","msp1_ascs","crisia_elongata","msp14_bryo","msp4_ascc","msp9_sp","miniacina_sp_.a.","rdup","msp15_ascc","msp11_ascc","form","msp8_ascc","msp1_ascc","watersipora_subtorquata"
31.818,2.273,2.273,0,4.545,11.364,0,0,0,0,2.273,2.273,0,6.818,0,0,0,4.545,0,0,0,0,0,0,0,0,0,0,0,0,0
18.52,25.927,0,7.407,0,3.703,7.407,0,0,3.703,0,0,0,7.407,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.258,9.677,0,9.677,16.129,0,0,3.226,0,0,0,0,0,0,3.226,0,0,0,0,0,0,12.903,0,0,0,0,0,0,0,0,0
61.537,19.23,0,0,7.693,0,0,0,0,0,0,3.846,0,0,7.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.73,40.541,8.108,0,10.811,2.703,0,0,0,5.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.703,0,0
46.424,3.572,10.714,0,3.572,0,3.572,0,0,0,3.572,3.572,3.572,0,3.572,3.572,0,3.572,0,0,0,0,0,0,0,0,0,0,0,0,0
28.125,12.5,3.125,0,18.75,0,12.5,9.375,0,0,0,0,0,3.125,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0
20.93,0,2.326,0,0,0,13.954,9.302,0,0,4.652,25.581,0,0,0,0,0,2.326,0,0,0,0,6.976,0,2.326,0,0,0,0,0,0
14.286,19.048,9.523,7.142,11.905,0,7.142,4.762,0,0,9.523,2.381,2.381,0,4.762,0,0,2.381,0,0,0,0,0,0,0,0,0,0,0,0,0
54.545,31.819,0,0,0,0,9.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545,0,0,0
48.275,6.896,3.449,0,10.345,0,20.69,0,0,0,0,6.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.857,7.143,0,0,0,0,14.285,0,0,0,0,10.713,0,0,0,0,0,0,0,0,0,0,0,3.572,0,0,0,3.572,0,0,0
51.351,2.703,8.108,2.703,8.108,5.406,0,0,2.703,18.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.571,28.571,7.143,0,3.571,0,10.714,7.143,0,0,0,3.571,0,0,0,3.571,0,0,0,0,0,0,0,0,0,0,0,0,0,7.143,0
25.807,16.13,6.451,0,3.226,0,6.451,0,9.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.374,9.374,3.125,3.125,6.25,6.25,12.499,6.25,0,3.125,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.907,13.953,16.279,2.326,20.929,4.651,2.326,2.326,0,4.651,2.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.432,21.739,8.697,0,0,0,21.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.697,0
45.454,9.091,4.546,13.635,0,4.546,0,9.091,13.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.333,26.667,6.667,0,0,0,9.999,3.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.334,16.666,0,0,0,0,0
28.572,11.904,4.762,7.142,19.049,2.381,2.381,2.381,2.381,4.762,4.762,0,0,0,0,0,2.381,0,0,0,0,0,7.142,0,0,0,0,0,0,0,0
34.483,37.932,3.448,0,6.896,0,6.896,6.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448,0,0,0
39.999,16,7.999,0,7.999,4,0,0,4,4,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0
48.718,15.385,0,7.692,0,5.129,2.564,0,2.564,5.129,0,7.692,0,0,0,2.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.809,19.048,4.762,2.381,7.143,2.381,2.381,9.524,7.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.762
49.997,12.5,0,0,18.749,0,6.251,0,0,0,0,6.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.251,0,0,0
36.111,19.444,0,16.667,13.889,0,0,0,0,0,0,0,0,5.556,0,0,0,0,0,0,5.556,0,0,0,0,0,0,0,0,0,0
45.946,2.703,0,13.513,0,21.621,8.108,2.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.405,0,0,0,0,0,0,0
35.714,19.048,2.381,14.286,14.286,0,0,2.381,2.381,7.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.999,36.363,0,0,4.546,4.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.258,9.677,3.226,6.452,12.903,0,3.226,3.226,0,0,0,0,0,12.903,12.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.235,8.824,0,0,5.883,26.47,2.941,5.883,2.941,2.941,0,5.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.605,11.628,9.302,25.581,4.652,9.302,0,4.652,0,11.628,2.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.855,23.809,0,4.762,0,0,4.762,4.762,0,0,0,0,0,0,0,14.287,0,0,4.762,0,0,0,0,0,0,0,0,0,0,0,0
45.835,8.333,4.167,0,8.333,4.167,0,8.333,0,0,0,0,0,8.333,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0
40,20.001,0,0,3.333,13.332,0,3.333,0,0,0,0,0,16.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.585,7.317,7.317,19.513,7.317,4.879,2.439,2.439,0,7.317,0,0,0,4.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.998,39.998,4.001,4.001,0,0,4.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.001,0,0,0
58.064,3.226,6.451,16.129,0,0,6.451,0,0,3.226,0,0,0,0,0,0,0,0,0,0,0,3.226,0,0,0,0,0,3.226,0,0,0
40.625,6.251,9.375,9.375,6.251,6.251,3.125,0,0,3.125,0,0,0,6.251,3.125,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0
