"pairs";"Df";"SumsOfSqs";"F.Model";"R2";"p.value";"p.adjusted";"sig"
"RUNA1 vs RUNA2";1;0,0895222975905413;2,73090389301637;0,40572617532837;0,1;0,1;""
"RUNA1 vs RUNA3";1;0,0442894258908432;0,88707896047398;0,181515168395795;0,6;0,6;""
"RUNA1 vs RUNA4";1;0,0644430626221247;2,01535921833933;0,335035555681364;0,1;0,1;""
"RUNA1 vs RUNA5";1;0,0672067370868584;1,82581655634965;0,313400969407398;0,2;0,2;""
"RUNA1 vs RUNA6";1;0,0810374457224986;2,14704858223712;0,349281212522276;0,1;0,1;""
"RUNA1 vs RUNA7";1;0,116617022220186;3,82959720183829;0,489118035464091;0,1;0,1;""
"RUNA1 vs RUNA8";1;0,117657748496277;2,82956596613468;0,414311243227676;0,1;0,1;""
"RUNA1 vs RUNA9";1;0,120090026627196;3,65192516204826;0,477255734303433;0,1;0,1;""
"RUNA2 vs RUNA3";1;0,0659635273784387;1,50154110256182;0,272930997800348;0,1;0,1;""
"RUNA2 vs RUNA4";1;0,0858492036243288;3,30452914758833;0,452394546016611;0,1;0,1;""
"RUNA2 vs RUNA5";1;0,0858584537063904;2,78648794690122;0,410593515925061;0,1;0,1;""
"RUNA2 vs RUNA6";1;0,119642311155271;3,7686256930028;0,485108414529123;0,1;0,1;""
"RUNA2 vs RUNA7";1;0,154748589267697;6,32794404953674;0,612701232615661;0,1;0,1;""
"RUNA2 vs RUNA8";1;0,140795640125213;3,95661865744977;0,497273883265122;0,1;0,1;""
"RUNA2 vs RUNA9";1;0,0893623271074562;3,32358639461963;0,45381951076065;0,1;0,1;""
"RUNA3 vs RUNA4";1;0,0537103028100882;1,24544698897853;0,237433910131092;0,3;0,3;""
"RUNA3 vs RUNA5";1;0,0644095073845475;1,34302606723833;0,251360568025922;0,3;0,3;""
"RUNA3 vs RUNA6";1;0,0938152917300366;1,91878772436268;0,324185933627023;0,2;0,2;""
"RUNA3 vs RUNA7";1;0,0974936555945284;2,34354875081228;0,369438124127633;0,1;0,1;""
"RUNA3 vs RUNA8";1;0,094363267943443;1,78952482723644;0,309097012386532;0,1;0,1;""
"RUNA3 vs RUNA9";1;0,0806364769551603;1,83125766682888;0,314041630718189;0,1;0,1;""
"RUNA4 vs RUNA5";1;0,0400199045129907;1,3336768359603;0,250048301945946;0,1;0,1;""
"RUNA4 vs RUNA6";1;0,0615954084224823;1,99069207764611;0,332297512849016;0,1;0,1;""
"RUNA4 vs RUNA7";1;0,0909838994292237;3,84716944643127;0,490262058528745;0,1;0,1;""
"RUNA4 vs RUNA8";1;0,107182078381008;3,08175032668965;0,435167887107679;0,1;0,1;""
"RUNA4 vs RUNA9";1;0,0780105677799635;2,99096299898177;0,427832760582112;0,1;0,1;""
"RUNA5 vs RUNA6";1;0,0639157619920065;1,78661023870077;0,308749019720033;0,1;0,1;""
"RUNA5 vs RUNA7";1;0,0873269747184345;3,06596110212896;0,433905743014237;0,1;0,1;""
"RUNA5 vs RUNA8";1;0,0982665443336564;2,48067763374728;0,382780593935035;0,1;0,1;""
"RUNA5 vs RUNA9";1;0,0729153197546049;2,35855415101324;0,370926172050828;0,1;0,1;""
"RUNA6 vs RUNA7";1;0,118250367577139;4,01976300685845;0,501232144069691;0,1;0,1;""
"RUNA6 vs RUNA8";1;0,120297018969154;2,96683247133887;0,425850985156345;0,1;0,1;""
"RUNA6 vs RUNA9";1;0,103322779247483;3,24406672219262;0,447823970512893;0,1;0,1;""
"RUNA7 vs RUNA8";1;0,0556468508209315;1,67333011305435;0,294946720834032;0,1;0,1;""
"RUNA7 vs RUNA9";1;0,0657106939145767;2,67577468876184;0,400818603609601;0,1;0,1;""
"RUNA8 vs RUNA9";1;0,052150420667199;1,46130056737513;0,267573730716213;0,1;0,1;""
