"pairs";"Df";"SumsOfSqs";"F.Model";"R2";"p.value";"p.adjusted";"sig"
"RUNA1 vs RUNA2";1;0,067865882325152;2,91561942403112;0,421599172143513;0,1;0,1;""
"RUNA1 vs RUNA3";1;0,0337499821953955;0,921167888508594;0,187184812503473;0,4;0,4;""
"RUNA1 vs RUNA4";1;0,0473106868848787;2,18572652845553;0,353350009639251;0,1;0,1;""
"RUNA1 vs RUNA5";1;0,0480144414241025;2,00396766616644;0,333773893796797;0,1;0,1;""
"RUNA1 vs RUNA6";1;0,0557823329453376;2,23272705102767;0,358226348233801;0,1;0,1;""
"RUNA1 vs RUNA7";1;0,0828770281666309;4,27106169847646;0,516386148982929;0,1;0,1;""
"RUNA1 vs RUNA8";1;0,0834754182349447;2,8121034581756;0,412809857548572;0,1;0,1;""
"RUNA1 vs RUNA9";1;0,0870121393183672;3,95599760958105;0,497234640294137;0,1;0,1;""
"RUNA2 vs RUNA3";1;0,0394586617946895;1,13749349130907;0,221410205819887;0,4;0,4;""
"RUNA2 vs RUNA4";1;0,0545957475495853;2,7718966524327;0,409323531456574;0,1;0,1;""
"RUNA2 vs RUNA5";1;0,0540176427332862;2,45416855057233;0,380245500461048;0,1;0,1;""
"RUNA2 vs RUNA6";1;0,0787916098915729;3,42054297935338;0,46095588811635;0,1;0,1;""
"RUNA2 vs RUNA7";1;0,119720793888883;6,85874886844843;0,631633436921767;0,1;0,1;""
"RUNA2 vs RUNA8";1;0,104445544128652;3,76581007768831;0,48492173257079;0,1;0,1;""
"RUNA2 vs RUNA9";1;0,0661040383070596;3,29763848699429;0,451877479662945;0,1;0,1;""
"RUNA3 vs RUNA4";1;0,0334085249333804;1,01061058016239;0,201694097753978;0,4;0,4;""
"RUNA3 vs RUNA5";1;0,041267485915536;1,1666656859293;0,225806304655352;0,4;0,4;""
"RUNA3 vs RUNA6";1;0,0699661454939529;1,92233601313442;0,324590838627039;0,1;0,1;""
"RUNA3 vs RUNA7";1;0,0646558265705638;2,09807161749487;0,344054932296248;0,1;0,1;""
"RUNA3 vs RUNA8";1;0,068603953472637;1,66932568411386;0,294448718794109;0,1;0,1;""
"RUNA3 vs RUNA9";1;0,0543064025864067;1,62557688920698;0,28896181160118;0,2;0,2;""
"RUNA4 vs RUNA5";1;0,0176387752607457;0,865528407825636;0,177889909435846;0,7;0,7;""
"RUNA4 vs RUNA6";1;0,0505114680226969;2,35996782327149;0,371066000465636;0,1;0,1;""
"RUNA4 vs RUNA7";1;0,0657013316518907;4,15205114758578;0,509325944160128;0,1;0,1;""
"RUNA4 vs RUNA8";1;0,0714443661134732;2,73692895932896;0,406257654764045;0,1;0,1;""
"RUNA4 vs RUNA9";1;0,0478198658965206;2,59685893054513;0,393650820471697;0,1;0,1;""
"RUNA5 vs RUNA6";1;0,0421328481660177;1,77641908099257;0,307529466973391;0,1;0,1;""
"RUNA5 vs RUNA7";1;0,0601502716623285;3,3162163774865;0,453269313861627;0,1;0,1;""
"RUNA5 vs RUNA8";1;0,0701003637209872;2,46673826859299;0,381450147839321;0,1;0,1;""
"RUNA5 vs RUNA9";1;0,045770734353316;2,2080637917875;0,355676723990578;0,1;0,1;""
"RUNA6 vs RUNA7";1;0,0879992308805626;4,59226719964821;0,534465129277664;0,1;0,1;""
"RUNA6 vs RUNA8";1;0,0853222446704594;2,89792806725384;0,420115727360368;0,1;0,1;""
"RUNA6 vs RUNA9";1;0,0760671716298053;3,49683348866817;0,466441397418497;0,1;0,1;""
"RUNA7 vs RUNA8";1;0,0305009816022406;1,27817751948748;0,242162662162904;0,2;0,2;""
"RUNA7 vs RUNA9";1;0,0472567108731785;2,92185561734537;0,42212027798204;0,1;0,1;""
"RUNA8 vs RUNA9";1;0,0275362198815911;1,0409273764115;0,206495213813715;0,6;0,6;""
