"pairs";"Df";"SumsOfSqs";"F.Model";"R2";"p.value";"p.adjusted";"sig"
"RUNA1 vs RUNA2";1;0,0406599632168455;2,7407820370741;0,406597042004901;0,1;0,1;""
"RUNA1 vs RUNA3";1;0,0229135734875778;0,925608850913824;0,187917652198895;0,5;0,5;""
"RUNA1 vs RUNA4";1;0,0358916878017654;2,60567984525776;0,394460510696471;0,1;0,1;""
"RUNA1 vs RUNA5";1;0,0370482762545229;2,55017556593689;0,38932934549093;0,1;0,1;""
"RUNA1 vs RUNA6";1;0,0401155209833441;2,67176554244583;0,400458548108149;0,1;0,1;""
"RUNA1 vs RUNA7";1;0,0371014219818763;2,84245056054105;0,415414117411802;0,1;0,1;""
"RUNA1 vs RUNA8";1;0,0550735123732338;2,817077650107;0,413238310416309;0,1;0,1;""
"RUNA1 vs RUNA9";1;0,0394110207319807;2,69705341294089;0,402722398440082;0,1;0,1;""
"RUNA2 vs RUNA3";1;0,027330263303091;1,1887699478733;0,229104385011429;0,5;0,5;""
"RUNA2 vs RUNA4";1;0,0369670189552438;3,07811221556009;0,434877566477874;0,1;0,1;""
"RUNA2 vs RUNA5";1;0,0419368809152583;3,2858243514097;0,450988686101655;0,1;0,1;""
"RUNA2 vs RUNA6";1;0,0428054580242574;3,23063798435404;0,446798469422011;0,1;0,1;""
"RUNA2 vs RUNA7";1;0,0599084353017338;5,30733628250419;0,570231494963909;0,1;0,1;""
"RUNA2 vs RUNA8";1;0,072340850129437;4,06749541952069;0,504183170613111;0,1;0,1;""
"RUNA2 vs RUNA9";1;0,0553487085061116;4,3080109537072;0,518536985291874;0,1;0,1;""
"RUNA3 vs RUNA4";1;0,0285978240305255;1,30407366088773;0,24586266033671;0,3;0,3;""
"RUNA3 vs RUNA5";1;0,0301505106257935;1,32921534146592;0,249420459917143;0,3;0,3;""
"RUNA3 vs RUNA6";1;0,0435525173669207;1,87970934492021;0,319694262871036;0,1;0,1;""
"RUNA3 vs RUNA7";1;0,0300617700957487;1,41748504160659;0,261650014853798;0,3;0,3;""
"RUNA3 vs RUNA8";1;0,0442281429056095;1,59639124912155;0,285253689039724;0,1;0,1;""
"RUNA3 vs RUNA9";1;0,0305667649784296;1,34254215847509;0,251292758887332;0,3;0,3;""
"RUNA4 vs RUNA5";1;0,00886075052547783;0,75718628127176;0,159166834448479;0,7;0,7;""
"RUNA4 vs RUNA6";1;0,0321974027234656;2,6414951637151;0,397725978654106;0,1;0,1;""
"RUNA4 vs RUNA7";1;0,0299146539748506;2,92504077466866;0,422386072493359;0,1;0,1;""
"RUNA4 vs RUNA8";1;0,0403500088518962;2,41265105814647;0,37623301755699;0,1;0,1;""
"RUNA4 vs RUNA9";1;0,0201410042926341;1,70873382765236;0,299319232467185;0,2;0,2;""
"RUNA5 vs RUNA6";1;0,0272515210190489;2,10559803102891;0,344863520383781;0,1;0,1;""
"RUNA5 vs RUNA7";1;0,0282429349002709;2,572117725933;0,391368175859609;0,1;0,1;""
"RUNA5 vs RUNA8";1;0,0443405756421794;2,53698345901896;0,388096967802286;0,1;0,1;""
"RUNA5 vs RUNA9";1;0,0235150347315581;1,87513872033816;0,319165012027194;0,1;0,1;""
"RUNA6 vs RUNA7";1;0,0577602630335767;5,03695559058898;0,557373059997598;0,1;0,1;""
"RUNA6 vs RUNA8";1;0,0637719519994633;3,54987711723204;0,470190052382403;0,1;0,1;""
"RUNA6 vs RUNA9";1;0,0404497775708379;3,10500090748184;0,437016257691417;0,1;0,1;""
"RUNA7 vs RUNA8";1;0,0182453013812279;1,14014898740591;0,221812439717104;0,4;0,4;""
"RUNA7 vs RUNA9";1;0,0164145165155182;1,48342173630568;0,270528477954552;0,3;0,3;""
"RUNA8 vs RUNA9";1;0,0122375716835199;0,696798765147235;0,148356103803692;0,7;0,7;""
