"sp";"name";"indval";"pvalue"
"msp8_spo";"RUNA_1";0,556;0,011
"cawt";"RUNA_4_5_6";0,293;0,019
"schizomavella_sp_bryo";"RUNA_4_5_6";0,532;0,036
"miniacina_sp_.j._for";"RUNA_7_8_9";0,465;0,01
"msp14_bryo";"RUNA_7_8_9";0,566;0,039
"msp5_bryo";"RUNA_7_8_9";0,465;0,02
"msp15_ascc";"RUNA_7_8_9";0,726;0,002
"msp3_ascs";"RUNA_7_8_9";0,483;0,03
"msp6_ascc";"RUNA_7_8_9";0,776;0,001
"msp9_ascc";"RUNA_7_8_9";0,556;0,014
